id,books_count,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,nytimes_best_seller,image_url,small_image_url
1,275,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,TRUE,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
2,307,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,FALSE,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
3,491,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,TRUE,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
4,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,FALSE,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
5,332,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,TRUE,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
6,11,"J.K. Rowling, Mary GrandPré",2003,,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",eng,4.77,33220,33424,156,317,233,978,3686,28210,FALSE,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7,6,J.K. Rowling,2005,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",eng,4.73,24618,26274,882,203,186,946,3891,21048,TRUE,https://images.gr-assets.com/books/1328867351m/10.jpg,https://images.gr-assets.com/books/1328867351s/10.jpg
8,257,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,1006479,20345,21764,41962,145173,299579,498001,FALSE,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
9,32,Douglas Adams,1996,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng,4.37,222842,238420,4254,2657,6328,26431,66655,136349,TRUE,https://images.gr-assets.com/books/1404613595m/13.jpg,https://images.gr-assets.com/books/1404613595s/13.jpg
10,155,Bill Bryson,2003,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US,4.19,191535,206367,9065,3514,7196,29992,71534,94131,FALSE,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
11,76,Bill Bryson,2000,Down Under,In a Sunburned Country,eng,4.05,58688,66668,4455,607,2214,12998,28184,22665,TRUE,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
12,69,Bill Bryson,1998,Notes from a Big Country,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,en-US,3.89,44610,49430,2335,601,2332,12624,20065,13808,FALSE,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
13,47,Bill Bryson,1989,The Lost Continent: Travels in Small-Town America,The Lost Continent: Travels in Small Town America,en-US,3.83,40254,42202,2119,1100,2653,10395,16124,11930,TRUE,https://images.gr-assets.com/books/1404042682m/26.jpg,https://images.gr-assets.com/books/1404042682s/26.jpg
14,57,Bill Bryson,1991,Neither Here Nor There: Travels in Europe,Neither Here nor There: Travels in Europe,en-US,3.88,42170,45390,2168,874,2545,11191,17477,13303,FALSE,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
15,63,Bill Bryson,1995,Notes from a Small Island,Notes from a Small Island,eng,3.91,66947,72421,3323,1073,3717,17241,29024,21366,TRUE,https://images.gr-assets.com/books/1479653223m/28.jpg,https://images.gr-assets.com/books/1479653223s/28.jpg
16,28,Bill Bryson,1990,The Mother Tongue: English and How It Got That Way,The Mother Tongue: English and How It Got That Way,en-US,3.95,24133,26951,1993,333,1280,6050,10985,8303,FALSE,https://images.gr-assets.com/books/1388209925m/29.jpg,https://images.gr-assets.com/books/1388209925s/29.jpg
17,74,J.R.R. Tolkien,1973,The Hobbit and The Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,eng,4.59,90907,94348,1565,826,1281,5819,19982,66440,TRUE,https://images.gr-assets.com/books/1346072396m/30.jpg,https://images.gr-assets.com/books/1346072396s/30.jpg
18,380,J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054,436346,9365,4807,9577,37552,106818,277592,FALSE,https://images.gr-assets.com/books/1411114164m/33.jpg,https://images.gr-assets.com/books/1411114164s/33.jpg
